CRASH YEAR,CRASH MONTH,NUMBER OF DEADLY ACCIDENTS,NUMBER OF PERSONS KILLED
2013,1,27,29.0
2013,2,20,20.0
2013,3,21,23.0
2013,4,15,16.0
2013,5,16,16.0
2013,6,22,23.0
2013,7,24,24.0
2013,8,33,35.0
2013,9,25,26.0
2013,10,23,23.0
2013,11,33,36.0
2013,12,25,26.0
2014,1,23,23.0
2014,2,12,13.0
2014,3,18,18.0
2014,4,19,22.0
2014,5,25,26.0
2014,6,22,22.0
2014,7,29,29.0
2014,8,21,22.0
2014,9,26,28.0
2014,10,19,20.0
2014,11,25,26.0
2014,12,13,13.0
2015,1,16,16.0
2015,2,16,16.0
2015,3,11,13.0
2015,4,19,21.0
2015,5,29,29.0
2015,6,20,20.0
2015,7,18,20.0
2015,8,22,22.0
2015,9,14,14.0
2015,10,23,24.0
2015,11,25,26.0
2015,12,22,22.0
2016,1,17,17.0
2016,2,18,19.0
2016,3,11,11.0
2016,4,16,17.0
2016,5,21,22.0
2016,6,26,29.0
2016,7,21,21.0
2016,8,26,29.0
2016,9,18,18.0
2016,10,21,21.0
2016,11,18,18.0
2016,12,22,24.0
2017,1,18,18.0
2017,2,12,13.0
2017,3,17,17.0
2017,4,22,23.0
2017,5,13,13.0
2017,6,20,21.0
2017,7,31,32.0
2017,8,23,23.0
2017,9,25,28.0
2017,10,21,28.0
2017,11,23,24.0
2017,12,16,16.0
2018,1,12,12.0
2018,2,16,16.0
2018,3,18,19.0
2018,4,17,17.0
2018,5,13,14.0
2018,6,21,21.0
2018,7,17,17.0
2018,8,18,18.0
2018,9,32,32.0
2018,10,19,19.0
2018,11,22,23.0
2018,12,23,23.0
2019,1,21,22.0
2019,2,13,14.0
2019,3,16,16.0
2019,4,20,20.0
2019,5,22,22.0
2019,6,21,23.0
2019,7,21,21.0
2019,8,21,22.0
2019,9,21,21.0
2019,10,19,20.0
2019,11,18,18.0
2019,12,25,25.0
2020,1,17,20.0
2020,2,21,21.0
2020,3,8,8.0
2020,4,13,14.0
2020,5,12,12.0
2020,6,30,32.0
2020,7,20,23.0
2020,8,22,22.0
2020,9,37,37.0
2020,10,24,28.0
2020,11,30,31.0
2020,12,20,21.0
2021,1,16,17.0
2021,2,11,12.0
2021,3,19,19.0
2021,4,27,27.0
2021,5,29,33.0
2021,6,26,27.0
2021,7,28,29.0
2021,8,27,27.0
2021,9,25,25.0
2021,10,33,33.0
2021,11,24,24.0
2021,12,21,23.0
2022,1,21,21.0
2022,2,23,26.0
2022,3,14,16.0
2022,4,10,10.0
2022,5,27,27.0
2022,6,24,24.0
2022,7,37,40.0
2022,8,24,26.0
2022,9,16,16.0
2022,10,26,26.0
2022,11,28,28.0
2022,12,27,27.0
