CRASH YEAR,CRASH MONTH NAME,Number Of Collisions
2013,Apr,16439
2013,Aug,16759
2013,Dec,17280
2013,Feb,14399
2013,Jan,15643
2013,Jul,17578
2013,Jun,18205
2013,Mar,16509
2013,May,18488
2013,Nov,17771
2013,Oct,17713
2013,Sep,16956
2014,Apr,16371
2014,Aug,17093
2014,Dec,17255
2014,Feb,15738
2014,Jan,16674
2014,Jul,17458
2014,Jun,18410
2014,Mar,15861
2014,May,18276
2014,Nov,16983
2014,Oct,18086
2014,Sep,17828
2015,Apr,16793
2015,Aug,18980
2015,Dec,18873
2015,Feb,15713
2015,Jan,16127
2015,Jul,18770
2015,Jun,18825
2015,Mar,17955
2015,May,19273
2015,Nov,18022
2015,Oct,19849
2015,Sep,18514
2016,Apr,18577
2016,Aug,19700
2016,Dec,19246
2016,Feb,15987
2016,Jan,18097
2016,Jul,19970
2016,Jun,20711
2016,Mar,18781
2016,May,20185
2016,Nov,19388
2016,Oct,19677
2016,Sep,19512
2017,Apr,17829
2017,Aug,19137
2017,Dec,19717
2017,Feb,15836
2017,Jan,17549
2017,Jul,19593
2017,Jun,21373
2017,Mar,19336
2017,May,21012
2017,Nov,19661
2017,Oct,20360
2017,Sep,19604
2018,Apr,18195
2018,Aug,19642
2018,Dec,19501
2018,Feb,15990
2018,Jan,18122
2018,Jul,19707
2018,Jun,20796
2018,Mar,19274
2018,May,20843
2018,Nov,19436
2018,Oct,20820
2018,Sep,19238
2019,Apr,16829
2019,Aug,17215
2019,Dec,17059
2019,Feb,16065
2019,Jan,16929
2019,Jul,18421
2019,Jun,19516
2019,Mar,17759
2019,May,19588
2019,Nov,16953
2019,Oct,17611
2019,Sep,17541
2020,Apr,4130
2020,Aug,9823
2020,Dec,8379
2020,Feb,13704
2020,Jan,14366
2020,Jul,9277
2020,Jun,7647
2020,Mar,11077
2020,May,6164
2020,Nov,9029
2020,Oct,9710
2020,Sep,9610
2021,Apr,8752
2021,Aug,9880
2021,Dec,8583
2021,Feb,6976
2021,Jan,7719
2021,Jul,10002
2021,Jun,10609
2021,Mar,8262
2021,May,10289
2021,Nov,9376
2021,Oct,10204
2021,Sep,9896
2022,Apr,8549
2022,Aug,8923
2022,Dec,8390
2022,Feb,7391
2022,Jan,7915
2022,Jul,8884
2022,Jun,9478
2022,Mar,8858
2022,May,9463
2022,Nov,8183
2022,Oct,8958
2022,Sep,8884
