CRASH YEAR,CRASH SEASON,Number Of Collisions
2013,Autumn,52440
2013,Spring,51436
2013,Summer,52542
2013,Winter,47322
2014,Autumn,52897
2014,Spring,50508
2014,Summer,52961
2014,Winter,49667
2015,Autumn,56385
2015,Spring,54021
2015,Summer,56575
2015,Winter,50713
2016,Autumn,58577
2016,Spring,57543
2016,Summer,60381
2016,Winter,53330
2017,Autumn,59625
2017,Spring,58177
2017,Summer,60103
2017,Winter,53102
2018,Autumn,59494
2018,Spring,58312
2018,Summer,60145
2018,Winter,53613
2019,Autumn,52105
2019,Spring,54176
2019,Summer,55152
2019,Winter,50053
2020,Autumn,28349
2020,Spring,21371
2020,Summer,26747
2020,Winter,36449
2021,Autumn,29476
2021,Spring,27303
2021,Summer,30491
2021,Winter,23278
2022,Autumn,26025
2022,Spring,26870
2022,Summer,27285
2022,Winter,23696
