FACTOR,COUNT,DEADLY_COUNT
Driver Inattention/Distraction,499934,392
Failure to Yield Right-of-Way,137250,262
Following Too Closely,129345,23
Other Vehicular,98189,38
Backing Unsafely,83384,44
Passing or Lane Usage Improper,68779,36
Fatigued/Drowsy,59261,3
Turning Improperly,59026,24
Passing Too Closely,58941,2
Unsafe Lane Changing,46700,15
Traffic Control Disregarded,43107,251
Driver Inexperience,38421,59
Unsafe Speed,32781,357
Lost Consciousness,25674,47
Pavement Slippery,23948,11
Alcohol Involvement,23596,109
Reaction to Uninvolved Vehicle,23229,10
Prescription Medication,18454,9
View Obstructed/Limited,16474,21
Outside Car Distraction,15458,7
Oversized Vehicle,14683,7
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,11602,108
Physical Disability,11569,37
Aggressive Driving/Road Rage,11104,23
Passenger Distraction,9467,54
Other,55098,118
